##### SBM #####
SBM01A | MNV | 10.95.98.134
SBM01B | MNV | 10.95.98.135
SBM02A | PPREGIS| 10.95.98.134
SBM02B | PPREGIS | 10.95.98.135
SBM03A | QUEUE | 10.95.98.134
SBM03B | QUEUE | 10.95.98.135
SBM04A | BB | 10.95.98.134
SBM04B | BB | 10.95.98.135
SBM05A | RBT | 10.95.98.134
SBM05B | RBT | 10.95.98.135
SBM06A | ATB & VMS | 10.95.98.134
SBM06B | ATB & VMS | 10.95.98.135
SBM07B | Admin | 10.95.98.134
SBM08A | IDDR & IR & NCB | 10.95.98.134
SBM08B | IDDR & IR & NCB | 10.95.98.135
SBM09A | NVC | 10.95.98.134
SBM09B | NVC | 10.95.98.135
SBM11A | Admin | 10.95.98.134
SBM12A | OTA & MNP | 10.95.98.134
SBM12B | OTA & MNP | 10.95.98.135
##### TOPPING #####
TOPPING01A | DBF | 10.95.76.6
TOPPING01B | DBF | 10.95.76.7
TOPPING02A | IVP & NVCPRE | 10.95.76.6
TOPPING02B | IVP & NVCPRE | 10.95.76.7
TOPPING03A | IOU | 10.95.76.6
TOPPING03B | IOU | 10.95.76.7
TOPPING04A | CMB | 10.95.76.6
TOPPING04B | CMB | 10.95.76.7
TOPPING05A | SPAM & PM & IVRPM | 10.95.76.6
TOPPING05B | SPAM & PM & IVRPM | 10.95.76.7
TOPPING06A | FIXEDIP ADMIN | 10.95.76.6
TOPPING06B | ADMIN | 10.95.76.7
TOPPING07A | FCR & CRC & FIXED IP | 10.95.76.6
TOPPING07B | FCR & CRC & FIXED IP | 10.95.76.7
TOPPING08A | CCAS | 10.95.76.6
TOPPING08B | CCAS | 10.95.76.7
TOPPING09A | AA OPERATION TOOLS | 10.95.76.6
TOPPING09B | AA OPERATION TOOLS | 10.95.76.7
TOPPING10A | MANGO & ADMIN | 10.95.76.6
TOPPING10B | MANGO & ADMIN | 10.95.76.7
TOPPING11A | HS& ADMIN | 10.95.76.6
TOPPING11B | HS & ADMIN | 10.95.76.7
##### 3G #####
3GS2 | 10.95.217.13 |  USSD,SMSC,TAG,MB,CRM,IVR,NVC,CCAS,DBF
3GS2 | 10.95.217.14 | USSD,SMSC,TAG,MB,CRM,IVR,NVC,CCAS,DBF
3GS2 | 10.95.217.23 | USSD,SMSC,TAG,MB,CRM,IVR,NVC,CCAS,DBF
3GS2 | 10.95.217.24 | USSD,SMSC,TAG,MB,CRM,IVR,NVC,CCAS,DBF
3GS3 | 10.95.217.15 | TCC,ATP,CCR,H-Life,H-Gift,3GEMEI,I-Service
3GS3 | 10.95.217.25 | TCC,ATP,CCR,H-Life,H-Gift,3GEMEI,I-Service
3GS4 | 10.95.217.15 | DMC,TGW,CMS
3GS4 | 10.95.217.25 | DMC,TGW,CMS
##### JBOSS #####
JBOSS | WEBSERVER1 | 10.95.217.81
JBOSS | WEBSERVER2 | 10.95.217.91
JBOSS | NTMS1 | 10.95.217.83
JBOSS | NTMS2 | 10.95.217.93
JBOSS | LBS1 | 10.95.217.82
JBOSS | LBS2 | 10.95.217.92
##### F5 #####
F5 | SBM | VIP : 10.95.69.137
F5 | TOPPING | VIP : 10.95.69.138
F5 | 3GS2 | VIP : 10.95.78.62
F5 | 3GS3 | VIP : 10.95.78.63
F5 | 3GS4 | VIP : 10.95.78.63
